operation_id,start_unix_ns,end_unix_ns,latency_ms,node_count,is_global,success
op-103,1783280970544767700,1783280970566114800,21.3471,16,true,true
op-104,1783280970565612600,1783280970586874800,21.2622,16,true,true
op-105,1783280970585871300,1783280970608277000,22.4057,16,true,true
op-106,1783280970606361700,1783280970628876000,22.5143,16,true,true
op-107,1783280970627035800,1783280970648493600,21.4578,16,true,true
op-108,1783280970647397800,1783280970668845100,21.4473,16,true,true
op-109,1783280970667841900,1783280970690054900,22.2130,16,true,true
op-110,1783280970688235600,1783280970710879100,22.6435,16,true,true
op-111,1783280970708890700,1783280970732949700,24.0590,16,true,true
op-112,1783280970729335700,1783280970752550300,23.2146,16,true,true
op-113,1783280970749963100,1783280970772549000,22.5859,16,true,true
op-114,1783280970770400100,1783280970792721400,22.3213,16,true,true
op-115,1783280970791215800,1783280970813616100,22.4003,16,true,true
op-116,1783280970811612900,1783280970836017200,24.4043,16,true,true
op-117,1783280970831859200,1783280970853896800,22.0376,16,true,true
op-118,1783280970852428200,1783280970874661900,22.2337,16,true,true
op-119,1783280970872794700,1783280970894999000,22.2043,16,true,true
op-120,1783280970893148600,1783280970916895400,23.7468,16,true,true
op-121,1783280970913392100,1783280970935412600,22.0205,16,true,true
op-122,1783280970933742500,1783280970955863300,22.1208,16,true,true
op-123,1783280970954358600,1783280970980038400,25.6798,16,true,true
op-124,1783280970974703400,1783280970997160100,22.4567,16,true,true
op-125,1783280970995151700,1783280971016136000,20.9843,16,true,true
op-126,1783280971015632800,1783280971037895600,22.2628,16,true,true
op-127,1783280971035878900,1783280971057448100,21.5692,16,true,true
op-128,1783280971056084200,1783280971077787900,21.7037,16,true,true
op-129,1783280971076784600,1783280971099255500,22.4709,16,true,true
op-130,1783280971097304300,1783280971119573500,22.2692,16,true,true
op-131,1783280971117688400,1783280971140323400,22.6350,16,true,true
op-132,1783280971137934200,1783280971160141900,22.2077,16,true,true
op-133,1783280971158521600,1783280971179619100,21.0975,16,true,true
op-134,1783280971178807800,1783280971201900600,23.0928,16,true,true
op-135,1783280971199026300,1783280971220404100,21.3778,16,true,true
op-136,1783280971219419200,1783280971241814300,22.3951,16,true,true
op-137,1783280971239805300,1783280971262235500,22.4302,16,true,true
op-138,1783280971260232200,1783280971282685700,22.4535,16,true,true
op-139,1783280971280805400,1783280971305521600,24.7162,16,true,true
op-140,1783280971300958600,1783280971324271400,23.3128,16,true,true
op-141,1783280971321127600,1783280971343009200,21.8816,16,true,true
op-142,1783280971341905600,1783280971363238100,21.3325,16,true,true
op-143,1783280971362386800,1783280971385060400,22.6736,16,true,true
op-144,1783280971382995300,1783280971407545700,24.5504,16,true,true
op-145,1783280971403465200,1783280971426196200,22.7310,16,true,true
op-146,1783280971424090200,1783280971446746900,22.6567,16,true,true
op-147,1783280971444741500,1783280971466589300,21.8478,16,true,true
op-148,1783280971465082900,1783280971487435200,22.3523,16,true,true
op-149,1783280971485502100,1783280971507687300,22.1852,16,true,true
